Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2019-09-05_14-26-31_manual_integration.xad
Data File Path,E:\201905_exports
Date Created,"Thursday, September 05, 2019 9:26:30 PM"
Date Last Modified,"Tuesday, November 03, 2020 12:54:25 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 8
Number of Events,2121
 
Time,Value
32,6.906128E-02
32.05,6.906128E-02
32.1,6.906128E-02
32.15,6.906128E-02
32.2,6.906128E-02
32.25,6.906128E-02
32.3,6.906128E-02
32.35,6.906128E-02
32.4,6.906128E-02
32.45,6.906128E-02
32.5,6.906128E-02
32.55,6.906128E-02
32.6,6.906128E-02
32.65,6.906128E-02
32.7,6.906128E-02
32.75,6.906128E-02
32.8,0.1661384
32.85,0.3066903
32.9,0.4111687
32.95,0.446135
33,0.3448491
33.05,0.2124299
33.1,1.585314E-04
33.15,-0.1577377
33.2,-0.2179916
33.25,-0.2092483
33.3,-0.1903001
33.35,-0.2374465
33.4,-0.2717583
33.45,-0.2901926
33.5,-0.307694
33.55,-0.2409616
33.6,-0.1275862
33.65,-2.001329E-03
33.7,0.1011397
33.75,0.1366967
33.8,0.1219881
33.85,5.780307E-02
33.9,-1.931568E-02
33.95,3.997606E-02
34,0.1539704
34.05,0.2135928
34.1,0.1912411
34.15,0.1288837
34.2,6.393238E-02
34.25,-8.794007E-02
34.3,-0.1670998
34.35,0.1412814
34.4,0.2651664
34.45,0.2187428
34.5,0.1244707
34.55,6.268173E-03
34.6,-0.1656341
34.65,-0.3232518
34.7,-0.3312683
34.75,-0.2231768
34.8,-0.1533092
34.85,-0.1302726
34.9,-0.1175233
34.95,-0.1271243
35,-0.1067467
35.05,-3.510666E-02
35.1,8.442856E-02
35.15,0.171965
35.2,0.2202576
35.25,0.1943556
35.3,3.450157E-02
35.35,-0.1177384
35.4,-0.1638534
35.45,-1.170107E-02
35.5,0.1008449
35.55,0.113271
35.6,0.0923011
35.65,-6.437378E-02
35.7,-0.26061
35.75,-0.4197128
35.8,-0.5006431
35.85,-0.4598449
35.9,-0.3798873
35.95,-0.271473
36,-0.1491804
36.05,-0.1304153
36.1,-0.1824025
36.15,-0.2396482
36.2,-0.2937019
36.25,-0.3461167
36.3,-0.2504783
36.35,2.630853E-02
36.4,0.1399314
36.45,5.608853E-02
36.5,-0.1062509
36.55,-0.2850067
36.6,-0.3738304
36.65,-0.4347495
36.7,-0.3082703
36.75,-0.1813502
36.8,-0.1950353
36.85,-0.2551146
36.9,-0.2421814
36.95,-0.1964698
37,-0.204359
37.05,-0.2969336
37.1,-0.3996706
37.15,-0.4673259
37.2,-0.5277556
37.25,-0.4827036
37.3,-0.3706672
37.35,-0.1494958
37.4,-4.145876E-02
37.45,8.752628E-02
37.5,0.3141188
37.55,0.6330364
37.6,1.070077
37.65,1.456882
37.7,1.797852
37.75,2.398574
37.8,3.701436
37.85,5.872431
37.9,8.532484
37.95,11.00797
38,12.45139
38.05,12.42098
38.1,11.03688
38.15,8.838417
38.2,6.475657
38.25,4.366159
38.3,2.711571
38.35,1.537182
38.4,0.6429082
38.45,-7.075571E-02
38.5,-0.4350735
38.55,-0.6360945
38.6,-0.6641183
38.65,-0.6900973
38.7,-0.6174979
38.75,-0.654353
38.8,-0.7588987
38.85,-0.8982649
38.9,-0.966952
38.95,-0.9636987
39,-0.9393746
39.05,-0.8481309
39.1,-0.6628257
39.15,-0.5510879
39.2,-0.5206468
39.25,-0.5156672
39.3,-0.5434892
39.35,-0.5514983
39.4,-0.5712004
39.45,-0.6082945
39.5,-0.6489514
39.55,-0.7183079
39.6,-0.7935206
39.65,-0.6981495
39.7,-0.6930627
39.75,-0.5880042
39.8,-0.4814485
39.85,-0.466901
39.9,-0.4849664
39.95,-0.4344727
40,-0.4179498
40.05,-0.3663728
40.1,-0.4423563
40.15,-0.4918694
40.2,-0.5363691
40.25,-0.6290889
40.3,-0.7173126
40.35,-0.7581305
40.4,-0.7511507
