Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2019-09-05_14-26-31_manual_integration.xad
Data File Path,E:\201905_exports
Date Created,"Thursday, September 05, 2019 9:26:30 PM"
Date Last Modified,"Tuesday, November 03, 2020 12:54:25 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 7
Number of Events,2121
 
Time,Value
32,-0.3013611
32.05,-0.3013611
32.1,-0.3013611
32.15,-0.3013611
32.2,-0.3013611
32.25,-0.3013611
32.3,-0.3013611
32.35,-0.3013611
32.4,-0.3013611
32.45,-0.3013611
32.5,-0.3013611
32.55,-0.2825598
32.6,-0.2760078
32.65,-0.2647634
32.7,-0.2080611
32.75,-0.1098368
32.8,-7.39018E-03
32.85,2.326682E-02
32.9,3.499066E-03
32.95,-5.744404E-02
33,-0.1856275
33.05,-0.180276
33.1,-0.1412064
33.15,-0.1065821
33.2,-1.028942E-02
33.25,0.1344837
33.3,0.2418675
33.35,0.3322199
33.4,0.3386768
33.45,0.3768121
33.5,0.2207306
33.55,3.203932E-02
33.6,-6.113948E-02
33.65,-0.102955
33.7,-0.1366699
33.75,-0.1447726
33.8,-0.1549554
33.85,-0.2112612
33.9,-0.2801266
33.95,-0.2821236
34,-0.1323201
34.05,-1.226197E-02
34.1,2.448849E-02
34.15,9.981246E-02
34.2,0.1385118
34.25,0.1415405
34.3,0.2122639
34.35,0.2890455
34.4,0.2441336
34.45,0.1229283
34.5,0.0362476
34.55,1.974545E-02
34.6,2.822958E-02
34.65,6.885464E-02
34.7,0.2047357
34.75,0.3250093
34.8,0.3219678
34.85,0.2128622
34.9,0.1153176
34.95,0.1714022
35,0.3276775
35.05,0.425196
35.1,0.5390015
35.15,0.6089659
35.2,0.4830046
35.25,0.2055329
35.3,-8.698683E-03
35.35,-5.025611E-02
35.4,4.896193E-02
35.45,2.572363E-02
35.5,7.849189E-02
35.55,6.062179E-02
35.6,1.619355E-02
35.65,0.0248692
35.7,1.032632E-03
35.75,4.526372E-02
35.8,0.1957674
35.85,0.3104147
35.9,0.3224614
35.95,0.2837437
36,0.2312012
36.05,0.1635267
36.1,8.494575E-02
36.15,7.939788E-02
36.2,0.2251021
36.25,0.3001163
36.3,0.2785086
36.35,0.2099176
36.4,7.335942E-02
36.45,-6.562644E-02
36.5,-0.1243057
36.55,-0.1479668
36.6,2.182567E-02
36.65,0.1940662
36.7,0.3631296
36.75,0.468063
36.8,0.4416557
36.85,0.3181448
36.9,0.2199061
36.95,0.135726
37,0.2376396
37.05,0.4876149
37.1,0.6770217
37.15,0.7690586
37.2,0.6533908
37.25,0.4097102
37.3,0.1641224
37.35,3.804406E-02
37.4,-8.120821E-02
37.45,5.664653E-02
37.5,0.2279071
37.55,0.2401812
37.6,0.1261394
37.65,9.772561E-02
37.7,0.1248417
37.75,0.1928467
37.8,0.1496833
37.85,0.1462006
37.9,0.126997
37.95,2.152973E-02
38,-2.342375E-02
38.05,5.003885E-03
38.1,-2.417772E-02
38.15,-0.1177748
38.2,-0.179013
38.25,-0.2014491
38.3,-0.2278593
38.35,-0.2023284
38.4,-0.1328894
38.45,-0.1005859
38.5,-7.064608E-02
38.55,-0.1125436
38.6,-0.1433046
38.65,-0.2538901
38.7,-0.4001997
38.75,-0.399617
38.8,-0.3853996
38.85,-0.3640105
38.9,-0.2957386
38.95,-0.2271517
39,-0.1638151
39.05,-1.469422E-02
39.1,0.1950811
39.15,0.3314061
39.2,0.3171268
39.25,0.2224583
39.3,0.1405187
39.35,0.1169164
39.4,0.2165691
39.45,0.4270462
39.5,0.7117859
39.55,1.130478
39.6,1.638355
39.65,1.990183
39.7,2.336979
39.75,2.564322
39.8,2.906873
39.85,3.238165
39.9,3.433842
39.95,3.808114
40,4.015677
40.05,3.956941
40.1,3.770306
40.15,3.413837
40.2,3.037829
40.25,2.664723
40.3,2.317077
40.35,2.070657
40.4,1.870295
40.45,1.663511
40.5,1.365537
40.55,0.8642176
