Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2019-09-05_14-26-31_manual_integration.xad
Data File Path,E:\201905_exports
Date Created,"Thursday, September 05, 2019 9:26:30 PM"
Date Last Modified,"Tuesday, November 03, 2020 12:54:25 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 5
Number of Events,2121
 
Time,Value
32,-0.0508728
32.05,-0.0508728
32.1,-0.0508728
32.15,-0.0508728
32.2,-0.0508728
32.25,-0.0508728
32.3,-0.0508728
32.35,-0.0508728
32.4,-6.118725E-02
32.45,-3.085107E-02
32.5,-1.071573E-02
32.55,-4.771303E-02
32.6,-2.312277E-02
32.65,0.122206
32.7,0.2003375
32.75,0.229645
32.8,0.3257867
32.85,0.3987912
32.9,0.356432
32.95,0.2888199
33,0.2707297
33.05,0.1153674
33.1,-0.1468548
33.15,-0.3629964
33.2,-0.4799209
33.25,-0.4959119
33.3,-0.3956866
33.35,-0.2221185
33.4,-3.088673E-02
33.45,8.279838E-02
33.5,0.1224443
33.55,0.1219135
33.6,9.865184E-02
33.65,6.632393E-02
33.7,5.237087E-03
33.75,4.882018E-03
33.8,-0.0407482
33.85,-0.1301442
33.9,-0.1322409
33.95,-0.1530074
34,-0.1710631
34.05,-0.1629477
34.1,-0.2080909
34.15,-0.2023804
34.2,-0.2316177
34.25,-0.1660102
34.3,2.338346E-02
34.35,7.281098E-02
34.4,0.1418278
34.45,0.1867655
34.5,0.2105468
34.55,0.2213281
34.6,0.3138266
34.65,0.2886318
34.7,0.318975
34.75,0.3280593
34.8,0.3650651
34.85,0.2376582
34.9,4.666507E-02
34.95,-0.1013302
35,-0.2066681
35.05,-0.3096523
35.1,-0.2765704
35.15,-0.1983736
35.2,0.1534768
35.25,0.3221738
35.3,0.5789055
35.35,0.6172548
35.4,0.5723289
35.45,0.4136866
35.5,0.2231017
35.55,0.122952
35.6,0.1982365
35.65,0.1894401
35.7,0.2227503
35.75,0.1513368
35.8,0.2012168
35.85,0.2340693
35.9,0.2759092
35.95,0.4268454
36,0.5697145
36.05,0.599394
36.1,0.491477
36.15,0.3268731
36.2,0.1234685
36.25,-7.643823E-02
36.3,-0.1878598
36.35,-0.1906901
36.4,-6.408346E-02
36.45,8.936417E-02
36.5,0.114833
36.55,3.463556E-02
36.6,-0.1244395
36.65,-0.1944265
36.7,-0.1108433
36.75,2.432174E-03
36.8,0.1272577
36.85,0.259299
36.9,0.3392552
36.95,0.3127899
37,0.2312483
37.05,0.1880383
37.1,0.2219168
37.15,0.3008543
37.2,0.3216081
37.25,0.3166337
37.3,0.3351996
37.35,0.3238437
37.4,0.3396709
37.45,0.4438518
37.5,0.4501201
37.55,0.3260288
37.6,0.1447606
37.65,0.1563507
37.7,0.2985063
37.75,0.388056
37.8,0.4411108
37.85,0.3967693
37.9,0.2667744
37.95,0.1496599
38,3.105209E-03
38.05,1.282583E-02
38.1,8.400138E-02
38.15,0.217917
38.2,0.452722
38.25,0.5020568
38.3,0.5619234
38.35,0.5669516
38.4,0.3946898
38.45,0.3524382
38.5,0.2285412
38.55,0.1775219
38.6,9.170288E-02
38.65,-4.122199E-02
38.7,-9.430559E-02
38.75,-7.655908E-02
38.8,-0.1024875
38.85,-0.0796684
38.9,-7.033782E-02
38.95,6.355982E-02
39,0.2167525
39.05,0.3341279
39.1,0.4087577
39.15,0.4766054
39.2,0.4267936
39.25,0.428329
39.3,0.4044507
39.35,0.3792367
39.4,0.1946736
39.45,7.450093E-02
39.5,1.539076E-02
39.55,4.333286E-02
39.6,2.380244E-02
39.65,6.073944E-02
39.7,3.313405E-02
39.75,0.1146621
39.8,0.2102036
39.85,0.3247404
39.9,0.2805331
39.95,0.1698961
40,-8.291632E-02
40.05,-0.1510383
40.1,-0.1317763
40.15,3.385795E-02
40.2,0.1563341
40.25,0.2059369
40.3,0.1287858
40.35,5.194601E-02
40.4,3.091127E-02
40.45,6.893899E-02
40.5,1.797054E-02
