Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2019-09-05_14-26-31_manual_integration.xad
Data File Path,E:\201905_exports
Date Created,"Thursday, September 05, 2019 9:26:30 PM"
Date Last Modified,"Tuesday, November 03, 2020 12:54:25 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 4
Number of Events,2121
 
Time,Value
32,4.443359E-02
32.05,4.443359E-02
32.1,4.443359E-02
32.15,4.443359E-02
32.2,6.130458E-03
32.25,-3.734905E-02
32.3,-0.1106574
32.35,-0.1271573
32.4,-4.873262E-02
32.45,8.740044E-03
32.5,2.809525E-02
32.55,0.1182837
32.6,7.722285E-02
32.65,-4.704611E-02
32.7,-8.752279E-02
32.75,-2.230201E-02
32.8,-0.1285413
32.85,-0.2405154
32.9,-0.1668725
32.95,5.824141E-02
33,0.1810766
33.05,0.2034699
33.1,0.2045849
33.15,0.1459775
33.2,7.249451E-02
33.25,0.139237
33.3,0.2564631
33.35,0.2695222
33.4,0.1007864
33.45,-0.0974346
33.5,-0.1731527
33.55,-0.1907873
33.6,-0.1694967
33.65,-8.508074E-02
33.7,-0.0907307
33.75,-0.1592276
33.8,-0.2670728
33.85,-0.3602529
33.9,-0.3756182
33.95,-0.2712163
34,-0.1099453
34.05,4.968084E-02
34.1,0.1155713
34.15,0.1000875
34.2,-7.192482E-02
34.25,-0.2352875
34.3,-0.2440824
34.35,-0.1285729
34.4,-1.696131E-02
34.45,5.987463E-02
34.5,0.0700272
34.55,3.796907E-02
34.6,4.109932E-02
34.65,3.594169E-02
34.7,-4.794164E-02
34.75,-2.071159E-02
34.8,0.1976165
34.85,0.4535837
34.9,0.6585322
34.95,0.8041196
35,0.703819
35.05,0.345112
35.1,-5.904512E-02
35.15,-0.2669944
35.2,-0.2240125
35.25,-9.801178E-02
35.3,-2.504815E-02
35.35,-3.636485E-02
35.4,-0.1467977
35.45,-0.2008302
35.5,-0.1851895
35.55,-8.710323E-02
35.6,3.822732E-02
35.65,2.502335E-02
35.7,-0.1419783
35.75,-0.3167455
35.8,-0.352847
35.85,-0.2435497
35.9,-7.587554E-02
35.95,0.1122201
36,0.3046188
36.05,0.5310642
36.1,0.6937687
36.15,0.740586
36.2,0.6879667
36.25,0.4971737
36.3,0.1904564
36.35,-0.1080664
36.4,-0.1697174
36.45,5.828803E-02
36.5,0.3390619
36.55,0.4565889
36.6,0.3966803
36.65,0.172857
36.7,-0.1105568
36.75,-0.3090891
36.8,-0.2812519
36.85,-0.178436
36.9,-0.1493531
36.95,-0.1416222
37,-0.1107238
37.05,-0.1240719
37.1,-0.1515637
37.15,-0.1504509
37.2,-0.1279731
37.25,-0.1425234
37.3,-9.059365E-02
37.35,4.100675E-02
37.4,0.106162
37.45,0.1087597
37.5,6.208415E-02
37.55,-0.0398601
37.6,-0.2245723
37.65,-0.3446758
37.7,-0.3574312
37.75,-0.3590316
37.8,-0.3095734
37.85,-8.900444E-02
37.9,0.1294729
37.95,0.264114
38,0.3345477
38.05,0.3765277
38.1,0.2803551
38.15,0.0564969
38.2,-9.213778E-02
38.25,-0.1158537
38.3,-0.1623735
38.35,-3.044396E-02
38.4,0.1793754
38.45,0.3489332
38.5,0.4647081
38.55,0.4529023
38.6,0.3969958
38.65,0.314015
38.7,0.204341
38.75,0.1923742
38.8,0.25383
38.85,0.2949435
38.9,0.2460262
38.95,0.1145766
39,-0.0192146
39.05,-0.141817
39.1,-0.236755
39.15,-7.908703E-02
39.2,0.1588956
39.25,0.2634578
39.3,0.1866331
39.35,-9.636934E-03
39.4,-0.2356708
39.45,-0.4149662
39.5,-0.4059448
39.55,-0.1331962
39.6,0.2356681
39.65,0.401749
39.7,0.3686882
39.75,0.2128844
39.8,6.853144E-02
39.85,-0.119681
39.9,-0.1228861
39.95,-2.368722E-02
40,0.1351628
40.05,0.1853998
40.1,0.2371827
40.15,0.1866956
40.2,0.185422
40.25,0.1581737
40.3,0.1971206
40.35,8.298157E-02
