Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2019-09-05_14-26-31_manual_integration.xad
Data File Path,E:\201905_exports
Date Created,"Thursday, September 05, 2019 9:26:30 PM"
Date Last Modified,"Tuesday, November 03, 2020 12:54:25 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 11
Number of Events,2121
 
Time,Value
32,-2.529907E-02
32.05,-2.529907E-02
32.1,-2.529907E-02
32.15,-2.529907E-02
32.2,7.683397E-02
32.25,0.1500737
32.3,0.1523143
32.35,0.1331436
32.4,5.539691E-02
32.45,-2.395105E-02
32.5,-8.466963E-02
32.55,-0.1012862
32.6,-6.629471E-02
32.65,-3.639221E-02
32.7,-4.591219E-02
32.75,-6.202251E-02
32.8,-6.856277E-02
32.85,-7.407732E-02
32.9,-2.117571E-02
32.95,2.314788E-03
33,5.386118E-03
33.05,0.0269417
33.1,6.804698E-03
33.15,3.412695E-03
33.2,-2.274468E-02
33.25,-6.150374E-02
33.3,-6.638717E-02
33.35,-0.0956053
33.4,-0.1212859
33.45,-0.1289298
33.5,-0.1265138
33.55,-9.569059E-02
33.6,-6.840193E-02
33.65,-0.1090416
33.7,-0.1616124
33.75,-0.1460751
33.8,-0.1648953
33.85,-0.1310387
33.9,-6.176216E-02
33.95,0.1010688
34,0.1923845
34.05,0.1955451
34.1,0.1341729
34.15,6.015751E-02
34.2,-0.0610007
34.25,-8.668609E-02
34.3,-6.913994E-02
34.35,-3.973861E-02
34.4,-1.513566E-02
34.45,-2.048496E-02
34.5,-6.776674E-02
34.55,-0.1380861
34.6,-0.1400889
34.65,-0.1544132
34.7,-0.1202194
34.75,-0.1557152
34.8,-0.1440972
34.85,-0.1521072
34.9,-0.1859295
34.95,-0.2429808
35,-0.2280341
35.05,-0.2136894
35.1,-0.1368326
35.15,-8.828974E-02
35.2,-6.034689E-02
35.25,-2.280098E-02
35.3,-3.324164E-03
35.35,-1.534847E-02
35.4,-3.045436E-02
35.45,-4.253161E-02
35.5,-0.0606772
35.55,-4.829219E-02
35.6,-4.318922E-02
35.65,6.696685E-03
35.7,2.377886E-02
35.75,-2.278857E-02
35.8,-5.048385E-02
35.85,-0.1349466
35.9,-0.1764724
35.95,-0.2137715
36,-0.2625639
36.05,-0.3036183
36.1,-0.340995
36.15,-0.2681649
36.2,-8.545196E-02
36.25,5.301027E-02
36.3,8.726443E-02
36.35,6.816354E-02
36.4,-9.716765E-03
36.45,-0.1327503
36.5,-0.2301753
36.55,-0.1697293
36.6,-7.599235E-02
36.65,-4.551464E-02
36.7,-9.858682E-02
36.75,-0.1296235
36.8,-0.1370932
36.85,-0.1957814
36.9,-0.2031397
36.95,-0.1406279
37,-0.0801107
37.05,-7.286558E-02
37.1,-7.345901E-02
37.15,-5.275586E-02
37.2,-4.688467E-02
37.25,-6.949959E-02
37.3,-0.1006565
37.35,-0.1412751
37.4,-0.2070386
37.45,-0.2810427
37.5,-0.300066
37.55,-0.2306943
37.6,-0.2101025
37.65,-0.2270244
37.7,-0.2400937
37.75,-0.2159779
37.8,-0.204266
37.85,-0.230212
37.9,-0.2922002
37.95,-0.2566486
38,-0.1611389
38.05,-9.289511E-02
38.1,-4.208765E-02
38.15,-1.258566E-02
38.2,-3.903321E-02
38.25,-0.1226504
38.3,-0.16585
38.35,-0.1509855
38.4,-4.889451E-02
38.45,-7.809325E-02
38.5,-0.1126421
38.55,-0.2038357
38.6,-0.2216491
38.65,-0.2313934
38.7,-0.2346107
38.75,-0.261509
38.8,-0.278594
38.85,-0.2967121
38.9,-0.3160122
38.95,-0.324083
39,-0.3260939
39.05,-0.3259445
39.1,-0.3210838
39.15,-0.3105589
39.2,-0.2883531
39.25,-0.2611464
39.3,-0.2478149
39.35,-0.2378538
39.4,-0.258612
39.45,-0.1439802
39.5,1.721932E-02
39.55,0.1298929
39.6,8.505404E-02
39.65,-7.556602E-02
39.7,-0.2731852
39.75,-0.4332482
39.8,-0.5160521
