Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2019-09-05_14-26-31_manual_integration.xad
Data File Path,E:\201905_exports
Date Created,"Thursday, September 05, 2019 9:26:30 PM"
Date Last Modified,"Tuesday, November 03, 2020 12:54:25 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 10
Number of Events,2121
 
Time,Value
32,0.1783981
32.05,0.1783981
32.1,0.1783981
32.15,0.1783981
32.2,0.1783981
32.25,0.1783981
32.3,0.1783981
32.35,9.554499E-02
32.4,5.253095E-02
32.45,2.483066E-02
32.5,1.979559E-02
32.55,7.039066E-02
32.6,8.502795E-02
32.65,5.445935E-02
32.7,-7.99013E-03
32.75,-9.011161E-02
32.8,-0.113726
32.85,-0.1193815
32.9,3.092781E-02
32.95,0.1659048
33,0.1980789
33.05,0.1507929
33.1,2.947963E-02
33.15,-0.1207995
33.2,-0.2315331
33.25,-0.2538019
33.3,-0.1222255
33.35,0.1131074
33.4,0.24473
33.45,0.328051
33.5,0.3159339
33.55,0.2633747
33.6,0.1179898
33.65,1.422388E-02
33.7,2.886928E-03
33.75,5.606656E-02
33.8,8.986282E-02
33.85,0.1357959
33.9,0.156437
33.95,0.1397666
34,5.580658E-02
34.05,-2.567466E-02
34.1,-8.140594E-02
34.15,-0.1323797
34.2,-0.1819765
34.25,-0.2286894
34.3,-0.2632593
34.35,-0.2628166
34.4,-0.2064649
34.45,-0.1422171
34.5,-6.553933E-02
34.55,-2.670786E-02
34.6,-3.910366E-02
34.65,-2.735661E-02
34.7,-0.0223681
34.75,0.0108712
34.8,7.252924E-02
34.85,4.865309E-02
34.9,8.552331E-03
34.95,-3.191504E-02
35,-6.949705E-02
35.05,-0.1145426
35.1,-0.1465236
35.15,-0.1209356
35.2,-5.127402E-02
35.25,1.223268E-02
35.3,5.563224E-02
35.35,7.500926E-02
35.4,5.086773E-02
35.45,-5.732928E-03
35.5,-6.107857E-02
35.55,-3.929762E-02
35.6,-2.682694E-02
35.65,-7.133213E-02
35.7,-9.760661E-02
35.75,-0.1436594
35.8,-0.181618
35.85,-0.2066696
35.9,-0.243096
35.95,-0.2965208
36,-0.3141601
36.05,-0.305661
36.1,-0.2342159
36.15,-0.1738996
36.2,-0.1390278
36.25,-0.1290159
36.3,-0.1572131
36.35,-0.1945708
36.4,-0.2140505
36.45,-0.1857077
36.5,-0.131668
36.55,-6.405602E-02
36.6,-1.060448E-02
36.65,3.775183E-02
36.7,-1.348355E-02
36.75,-4.309954E-02
36.8,-0.1240715
36.85,-0.1766897
36.9,-6.102035E-02
36.95,1.952635E-03
37,1.677893E-02
37.05,-3.434222E-02
37.1,-0.1583736
37.15,-0.2855682
37.2,-0.3117932
37.25,-0.2580513
37.3,-0.1877327
37.35,-0.1678953
37.4,-0.1803338
37.45,-0.1483768
37.5,-0.1478717
37.55,-0.1180546
37.6,-6.682524E-02
37.65,-4.067227E-02
37.7,-8.964051E-02
37.75,-0.1688361
37.8,-0.2146729
37.85,-0.2012763
37.9,-0.1916251
37.95,-0.1354833
38,-8.943658E-02
38.05,-7.937113E-02
38.1,-0.0925531
38.15,-0.1161254
38.2,-0.1231905
38.25,-0.1114835
38.3,-8.552394E-02
38.35,-9.749005E-02
38.4,-0.1642365
38.45,-0.2276055
38.5,-0.2786362
38.55,-0.3022456
38.6,-0.2525635
38.65,-0.2270136
38.7,-0.1649286
38.75,-0.1934106
38.8,-0.2483268
38.85,-0.2693057
38.9,-0.2192313
38.95,-0.2435721
39,-0.2327274
39.05,-0.2420354
39.1,-0.2442559
39.15,-0.2363446
39.2,-0.1775503
39.25,-0.1345321
39.3,-9.383629E-02
39.35,-6.788645E-02
39.4,-7.354842E-02
39.45,-9.418391E-02
39.5,-0.1271276
39.55,-0.1484883
39.6,-0.1621592
39.65,-0.1844537
39.7,-0.2358323
39.75,-0.2366908
39.8,-0.2759828
39.85,-0.298663
39.9,-0.3109694
39.95,-0.2703358
40,-0.2680277
