Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2019-09-05_14-26-31_manual_integration.xad
Data File Path,E:\201905_exports
Date Created,"Thursday, September 05, 2019 9:26:30 PM"
Date Last Modified,"Tuesday, November 03, 2020 12:54:25 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 9
Number of Events,2121
 
Time,Value
32,5.005646E-02
32.05,5.005646E-02
32.1,5.005646E-02
32.15,5.005646E-02
32.2,5.005646E-02
32.25,5.005646E-02
32.3,5.005646E-02
32.35,5.005646E-02
32.4,5.005646E-02
32.45,5.005646E-02
32.5,5.005646E-02
32.55,5.005646E-02
32.6,2.239869E-03
32.65,-3.046803E-02
32.7,-9.969374E-02
32.75,-0.2138901
32.8,-0.2682717
32.85,-0.2357006
32.9,-0.1630708
32.95,-4.096002E-02
33,7.147019E-02
33.05,0.1567587
33.1,0.1871906
33.15,0.138022
33.2,6.444965E-02
33.25,5.227846E-02
33.3,0.111908
33.35,0.1490657
33.4,0.1741869
33.45,0.1106901
33.5,3.541033E-02
33.55,-8.942074E-02
33.6,-0.1095425
33.65,-0.0894696
33.7,2.991634E-03
33.75,2.777418E-02
33.8,-1.729581E-02
33.85,-0.119619
33.9,-0.2088659
33.95,-0.2867248
34,-0.2811031
34.05,-0.2672814
34.1,-0.210003
34.15,-0.1354731
34.2,-9.983993E-02
34.25,-5.861369E-02
34.3,-3.001172E-02
34.35,-3.737353E-02
34.4,-5.894318E-02
34.45,-0.1001238
34.5,-0.1372553
34.55,-0.1067679
34.6,-6.430283E-02
34.65,-1.108151E-02
34.7,-8.222358E-03
34.75,-3.189589E-03
34.8,1.293861E-02
34.85,4.424989E-02
34.9,7.436367E-02
34.95,2.867299E-02
35,-3.214515E-02
35.05,-0.1065406
35.1,-0.1926422
35.15,-0.2207138
35.2,-0.183754
35.25,-0.1332369
35.3,-0.1176153
35.35,-0.1495352
35.4,-0.1602593
35.45,-0.1350887
35.5,-0.1104696
35.55,-0.110051
35.6,-0.115118
35.65,-9.512046E-02
35.7,-3.674565E-02
35.75,-3.157887E-02
35.8,2.693298E-02
35.85,8.091615E-03
35.9,-0.0265519
35.95,-5.856212E-02
36,-7.233723E-02
36.05,-5.567212E-02
36.1,-2.775622E-02
36.15,-4.045426E-02
36.2,-8.339715E-02
36.25,-0.145659
36.3,-0.2106929
36.35,-0.2326077
36.4,-0.2213706
36.45,-0.212663
36.5,-0.2068654
36.55,-0.2143947
36.6,-0.2327504
36.65,-0.2398165
36.7,-0.2585945
36.75,-0.2947918
36.8,-0.3429853
36.85,-0.3266766
36.9,-0.3267105
36.95,-0.3551633
37,-0.3767497
37.05,-0.3586647
37.1,-0.3211468
37.15,-0.261615
37.2,-0.2071664
37.25,-0.1481852
37.3,-0.1335302
37.35,-0.1833508
37.4,-0.2091715
37.45,-0.1811742
37.5,-0.1330045
37.55,-9.020034E-02
37.6,2.328473E-03
37.65,7.202955E-02
37.7,0.1033466
37.75,0.0402346
37.8,-6.306907E-02
37.85,-0.1958087
37.9,-0.3264925
37.95,-0.3960357
38,-0.3709144
38.05,-0.3467664
38.1,-0.3443892
38.15,-0.312201
38.2,-0.2568803
38.25,-0.2402562
38.3,-0.2846924
38.35,-0.3589202
38.4,-0.4147701
38.45,-0.4018253
38.5,-0.290136
38.55,-0.1253831
38.6,-2.067075E-02
38.65,-1.092384E-02
38.7,-0.0979519
38.75,-0.1800874
38.8,-0.1653392
38.85,-0.1847345
38.9,-0.2069168
38.95,-0.2395993
39,-9.417111E-02
39.05,9.642342E-02
39.1,0.1711979
39.15,0.1785911
39.2,7.921056E-02
39.25,-9.433959E-02
39.3,-0.2551121
39.35,-0.3203304
39.4,-0.2836383
39.45,-0.2524132
39.5,-0.2893765
39.55,-0.3206292
39.6,-0.3305281
39.65,-0.3685036
39.7,-0.3686462
39.75,-0.4437733
39.8,-0.470977
39.85,-0.4946715
39.9,-0.4536912
39.95,-0.3836425
