Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2019-09-05_14-26-31_manual_integration.xad
Data File Path,E:\201905_exports
Date Created,"Thursday, September 05, 2019 9:26:30 PM"
Date Last Modified,"Tuesday, November 03, 2020 12:54:25 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 1
Number of Events,2121
 
Time,Value
32,0.2454019
32.05,0.1988771
32.1,0.1022841
32.15,2.076016E-02
32.2,-1.568573E-02
32.25,-9.760372E-02
32.3,-0.0662645
32.35,0.1221969
32.4,0.4282317
32.45,0.5113529
32.5,0.4113763
32.55,0.1893932
32.6,-0.0662596
32.65,-0.2617444
32.7,-0.3660098
32.75,-0.4077708
32.8,-0.4946413
32.85,-0.5667617
32.9,-0.5202987
32.95,-0.3557991
33,-0.1194
33.05,2.927606E-02
33.1,0.1078288
33.15,0.165659
33.2,0.3241795
33.25,0.3318013
33.3,0.3183226
33.35,0.2785191
33.4,0.1117183
33.45,-8.848113E-02
33.5,-0.1302822
33.55,1.139612E-02
33.6,0.1123929
33.65,0.1697222
33.7,0.157817
33.75,-2.763635E-02
33.8,-0.1529965
33.85,-0.1752784
33.9,-5.130586E-02
33.95,-0.1344446
34,0.1026886
34.05,0.1929681
34.1,0.2001084
34.15,8.959565E-02
34.2,-4.918586E-02
34.25,-0.1890736
34.3,-0.23078
34.35,-0.1135942
34.4,1.283191E-02
34.45,6.099824E-02
34.5,4.179512E-02
34.55,0.0476461
34.6,9.432476E-03
34.65,-0.105951
34.7,-0.1398858
34.75,-0.1131616
34.8,-0.1949357
34.85,-1.842342E-02
34.9,4.354177E-03
34.95,-6.344092E-02
35,-0.270195
35.05,-0.333677
35.1,-0.3149273
35.15,-0.3402379
35.2,-0.2262062
35.25,-7.267912E-02
35.3,-7.278876E-02
35.35,-0.1085423
35.4,-0.133255
35.45,-0.1118637
35.5,-5.993652E-02
35.55,-5.455866E-02
35.6,2.350075E-02
35.65,-0.1370834
35.7,-0.1991286
35.75,-0.2651898
35.8,-0.1330725
35.85,-5.160506E-02
35.9,-0.101417
35.95,-0.1409131
36,-0.113821
36.05,6.707166E-02
36.1,0.6482829
36.15,1.167023
36.2,1.387439
36.25,1.186172
36.3,0.6718669
36.35,0.1598141
36.4,-0.1655122
36.45,-0.1726146
36.5,-0.19797
36.55,0.0268569
36.6,0.1561642
36.65,0.1956522
36.7,0.2868285
36.75,0.3650951
36.8,0.1228095
36.85,-0.1017513
36.9,-0.1345441
36.95,4.603704E-02
37,0.1728223
37.05,0.3201359
37.1,0.3720711
37.15,0.2391906
37.2,0.1230124
37.25,0.1354587
37.3,0.2343711
37.35,0.2782952
37.4,0.1992908
37.45,0.133221
37.5,5.525925E-02
37.55,0.1209656
37.6,0.2253217
37.65,0.3071919
37.7,0.3071356
37.75,0.2563685
37.8,0.163523
37.85,9.978473E-02
37.9,0.1080474
37.95,-0.0114194
38,-0.2438431
38.05,-0.3779167
38.1,-0.2942592
38.15,-0.1234721
38.2,1.332143E-02
38.25,6.924424E-02
38.3,-4.954733E-02
38.35,-0.2944542
38.4,-0.4386054
38.45,-0.2788534
38.5,-9.862269E-02
38.55,-6.339383E-02
38.6,-5.521045E-02
38.65,-0.153292
38.7,-0.2534049
38.75,-0.2058811
38.8,-2.037383E-02
38.85,9.762686E-02
38.9,7.505887E-02
38.95,-2.606617E-02
39,-0.175132
39.05,-0.2985877
39.1,-0.273244
39.15,-0.2103996
39.2,-0.162971
39.25,-0.1604233
39.3,-0.2332936
39.35,-0.4314873
39.4,-0.4094164
39.45,-0.4201754
39.5,-0.3257255
39.55,-0.2587216
39.6,-0.1495407
39.65,-0.1398662
39.7,-0.1781275
39.75,-0.1470285
39.8,-0.0458389
39.85,0.1247738
39.9,0.3558689
39.95,0.4884889
40,0.5231295
40.05,0.3723245
40.1,5.817393E-02
40.15,-0.1874899
40.2,-0.3391569
40.25,-0.365892
40.3,-0.2604396
40.35,-0.0570401
