Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2019-09-05_14-26-31_manual_integration.xad
Data File Path,E:\201905_exports
Date Created,"Thursday, September 05, 2019 9:26:30 PM"
Date Last Modified,"Tuesday, November 03, 2020 12:54:25 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 3
Number of Events,2121
 
Time,Value
32,0.2650765
32.05,0.3497173
32.1,0.4326495
32.15,0.3416562
32.2,0.2428351
32.25,9.463054E-02
32.3,-0.1112121
32.35,-0.2222001
32.4,-0.2441133
32.45,-0.1204569
32.5,-6.912962E-02
32.55,-0.1334351
32.6,-0.2261351
32.65,-0.272033
32.7,-0.2931426
32.75,-0.2145368
32.8,-9.217771E-02
32.85,0.1019714
32.9,4.651777E-02
32.95,-5.287975E-02
33,1.275897E-02
33.05,4.420337E-02
33.1,-4.109222E-02
33.15,-0.1308456
33.2,-0.2291129
33.25,-0.4246746
33.3,-0.5324965
33.35,-0.5577452
33.4,-0.2935907
33.45,-8.909585E-02
33.5,-9.324338E-02
33.55,-0.1059335
33.6,-0.1575314
33.65,-0.2264633
33.7,-0.1697681
33.75,-2.950554E-02
33.8,9.889834E-02
33.85,-4.458432E-02
33.9,-0.1688177
33.95,-0.2156501
34,-0.2808476
34.05,-0.2818772
34.1,-0.2891074
34.15,-0.3119147
34.2,-0.2725546
34.25,3.437657E-02
34.3,0.4098714
34.35,0.5789508
34.4,0.5524027
34.45,0.4192315
34.5,0.1675823
34.55,4.139005E-02
34.6,-4.360925E-02
34.65,-7.964753E-02
34.7,4.612841E-02
34.75,0.2159547
34.8,0.2613983
34.85,0.1907331
34.9,-0.1044549
34.95,-0.1181564
35,-0.297047
35.05,-0.1482799
35.1,0.1075962
35.15,0.1679996
35.2,0.0477133
35.25,-0.120706
35.3,-0.2062413
35.35,-0.1856822
35.4,-0.2401467
35.45,-0.183099
35.5,-0.1941601
35.55,-0.193399
35.6,-0.1801392
35.65,-0.1154909
35.7,-5.772039E-02
35.75,-6.420138E-02
35.8,-0.1973417
35.85,-0.3382662
35.9,-0.3932464
35.95,-0.3822071
36,-0.3104365
36.05,-0.2191138
36.1,-0.1667554
36.15,-0.1544235
36.2,-6.915028E-02
36.25,0.1363314
36.3,0.4161953
36.35,0.6274465
36.4,0.7237068
36.45,0.5711625
36.5,0.3626902
36.55,0.1521759
36.6,1.665304E-02
36.65,-5.534712E-02
36.7,-9.716793E-02
36.75,-0.1705448
36.8,-0.1977611
36.85,-0.2550076
36.9,-0.1841622
36.95,-0.1000874
37,5.633463E-02
37.05,4.532073E-02
37.1,2.014964E-02
37.15,-7.231309E-02
37.2,-0.1815021
37.25,-0.2675209
37.3,-0.1888857
37.35,0.1123278
37.4,0.3188279
37.45,0.266297
37.5,0.1386569
37.55,-0.105303
37.6,-0.3269645
37.65,-0.4648498
37.7,-0.4963835
37.75,-0.5041603
37.8,-0.5329874
37.85,-0.5300282
37.9,-0.4136921
37.95,-0.2677856
38,-0.1915052
38.05,-0.1557751
38.1,-0.1571761
38.15,-0.1751547
38.2,-0.226602
38.25,-0.2878986
38.3,-0.3022156
38.35,-0.3761655
38.4,-0.4896168
38.45,-0.4525914
38.5,-0.4130926
38.55,-0.3542521
38.6,-0.3973229
38.65,-0.1986299
38.7,-0.0426979
38.75,0.081355
38.8,0.1266895
38.85,-3.337998E-02
38.9,-0.1528972
38.95,-0.4310902
39,-0.5306106
39.05,-0.3567116
39.1,-0.4298135
39.15,-0.4104252
39.2,-0.5125342
39.25,-0.4521225
39.3,-0.3045954
39.35,-0.3879788
39.4,-0.5310872
39.45,-0.5663955
39.5,-0.5127676
39.55,-0.3618006
39.6,-0.2817224
39.65,-0.123445
39.7,-0.2055709
39.75,-0.3959964
39.8,-0.5363225
39.85,-0.5646799
39.9,-0.4939583
39.95,-0.3165492
40,-0.1681011
40.05,-4.289085E-02
40.1,0.1030293
40.15,8.939284E-02
40.2,-8.726449E-02
