BioGEOTRACES_ID	ratio
S0404	77.670510702
S0090	61.6506593570512
S0339	54.1539059612999
S0399	53.0476403032258
S0402	52.8365510581328
S0443	49.8278787655491
S0434	36.4382682071168
S0408	35.9541923210371
S0422	34.9963372989655
S0352	34.675937202607
S0439	34.3031524566355
S0441	32.4612181958594
S0444	32.0208674547198
S0072	31.3467014712
S0083	30.4516337924534
S0362-redo	30.137221543617
S0125	28.9317397512617
S0077	27.0315724292592
S0263	26.3169420597097
S0262	25.9122473825397
S0323	25.7089690236752
S0419	25.6402677030244
S0433	25.5404736708083
S0242	25.12159245
S0324	24.4528443635681
S0286	24.2600766138083
S0331	24.2499868408883
S0100	24.2105278431731
S0139	23.8706501291437
S0099	23.8223626932408
S0256	23.511760687448
S0097	23.4358087590196
S0091	22.8418980665263
S0353	22.7608815324124
S0076	22.4388422845817
S0406	22.3821460384314
S0255	22.3771503642977
S0122	22.3154513269459
S0079	22.2355008794068
S0405	22.1225694663185
S0291	21.5176272007527
S0403	21.4465490977173
S0283	21.034814839646
S0105	20.8092189730203
S0275	20.5900723374138
S0133	20.5523615221074
S0342	20.4221474277043
S0397	20.3903200192068
S0107	20.3096267978417
S0130	20.2899867197183
S0320	20.2776480492468
S0379	19.9838474760923
S0341	19.9517449615517
S0271	19.3970485005753
S0337	19.3774541157434
S0075	19.2395201977262
S0267	19.1886736216604
S0109	19.1671589248101
S0266	19.1064097470968
S0340	19.0749229483835
S0325	18.9908054916166
S0435	18.8371595947471
S0261	18.819910604562
S0282	18.8178193299145
S0365	18.6973401126582
S0084	18.6821003629493
S0253	18.4755751174263
S0254	18.4372172217857
S0264	18.18806832
S0332	18.1845088835073
S0073	17.8134075453367
S0067	17.6544719409621
S0238	17.5506530195122
S0293	17.4032008715563
S0378	17.3800827286232
S0272	17.3702764155831
S0351	17.3312978740139
S0398	16.9854333753448
S0132	16.9404513215704
S0108	16.8476202847059
S0363	16.7009026227105
S0355	16.6576297300895
S0074	16.533899006973
S0268	16.5034569908096
S0305	16.4452268306754
S0252	16.43227699488
S0289	16.3735008371448
S0369	16.3092480329875
S0394	16.2748322177941
S0421	16.2084609952139
S0243	16.0472860453431
S0389	15.8940296054281
S0085	15.8626556478733
S0065	15.8575813792308
S0287	15.7727471935912
S0346	15.7622100544587
S0080	15.6750415322222
S0058	15.6742435411444
S0440	15.6264424302663
S0334	15.5807029131172
S0387	15.5781824580163
S0082	15.5066369876786
S0240	15.4812897949339
S0306	15.2808952489838
S0245	15.2655627241482
S0095	15.2488651706931
S0078	15.1491233234902
S0418	15.064344778329
S0377	15.0085880793165
S0345	14.992820968
S0333	14.9407252115607
S0349	14.813219167995
S0118	14.7643829615162
S0368	14.7177703967213
S0317	14.7144270844931
S0374	14.5587553399401
S0358	14.4152074261682
S0140	14.3433893284599
S0257	14.265105781722
S0060	14.1575036607775
S0069	14.1108078846977
S0388	13.99450778
S0270	13.9461580480038
S0250	13.8353361593195
S0138	13.8322584273636
S0356	13.8299411712382
S0370	13.7643144383871
S0244	13.7207828078759
S0376	13.5779694415106
S0260	13.5447875542023
S0278	13.5302558817098
S0382	13.5215559305719
S0066	13.2626652220933
S0392	13.232816414218
S0318	13.22553012
S0314	13.1755924813201
S0120	13.1087081881613
S0071	13.10870507671
S0326	13.1055545677046
S0246	13.0705274088235
S0426	13.0675134626258
S0373	13.0520882012821
S0343	12.9572649015437
S0129	12.8386921676858
S0092	12.7045297800197
S0348	12.6887036116736
S0385	12.6860439134165
S0347	12.5453173804175
S0429	12.3430219707024
S0391	12.3292243346017
S0288	12.3236829845812
S0233	12.2071871532828
S0086	12.1986973957894
S0062	12.14551209595
S0383	12.1378595784225
S0312	12.0387524072668
S0417	12.032857561097
S0354	11.9976934830411
S0357	11.913252057833
S0432	11.8468844692296
S0290	11.8287807298387
S0367	11.7844456085754
S0430	11.7140989050891
S0081	11.6738776837342
S0386	11.4894978434496
S0284	11.4690970991494
S0350	11.3706718894104
S0094	11.0611343910423
S0372	10.9282334188855
S0413	10.8782856550533
S0414	10.7490759176437
S0070	10.7176887456889
S0380	10.6994696618472
S0303	10.6042254042324
S0313	10.5637898313808
S0239	10.5092302279136
S0274	10.4834038965672
S0135	10.4764092713538
S0360	10.415300104886
S0248	10.3253868090139
S0064	10.3246534910638
S0302	10.3223337840278
S0431	10.2749713946769
S0381	10.2432617858243
S0237	10.1628973589506
S0375	10.1351066280765
S0088	10.005645227707
S0102	9.97421268253355
S0415	9.7831939720648
S0112	9.78296388350515
S0309	9.73779646724843
S0366	9.72776683741933
S0103	9.72620464996987
S0393	9.72364039096428
S0110	9.69975796398091
S0279	9.48438535911832
S0134	9.416491700741
S0427	9.34402741288958
S0395	9.28459251881307
S0050	9.26648678609272
S0401	9.14833202324522
S0258	9.13793239410758
S0234	9.11437994016629
S0053	9.00181987638415
S0425	8.99468237837735
S0115	8.88854882167981
S0428	8.8588732567828
S0247	8.65170225614755
S0409	8.63607119904489
S0089	8.62770413593177
S0087	8.58947193897106
S0411	8.54560800258146
S0269	8.48599769849125
S0344	8.4643213970316
S0117	8.46073356298966
S0436	8.37662582889851
S0390	8.3647462031037
S0131	8.35209025132654
S0104	8.29960086988934
S0371	8.261813774888
S0311	8.20223147175573
S0300	8.15449987287755
S0236	7.93962883939225
S0423	7.7517639575
S0063	7.70668422798842
S0144	7.70086675425855
S0052	7.69955876377849
S0106	7.69955511449044
S0116	7.68659098568816
S0321	7.64404556951993
S0301	7.56176046459096
S0124	7.55234957676346
S0416	7.49561690225737
S0316	7.43582966578454
