Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Saturday, March 14, 2020 12:24:22 AM"
Date Last Modified,"Tuesday, November 03, 2020 12:48:31 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,sample 2
Number of Events,2121
 
Time,Value
32,-9.205627E-02
32.05,-9.205627E-02
32.1,-0.1720486
32.15,-0.3087717
32.2,-0.396047
32.25,-0.1733804
32.3,-2.682006E-02
32.35,5.671373E-02
32.4,0.3617595
32.45,0.2380222
32.5,5.287489E-02
32.55,-9.214254E-02
32.6,-0.1853427
32.65,-0.2110897
32.7,-1.360358E-03
32.75,0.2817996
32.8,0.3044556
32.85,0.2048263
32.9,6.359982E-02
32.95,-0.1247396
33,-0.2567592
33.05,-0.1651114
33.1,-1.199924E-02
33.15,9.399834E-03
33.2,3.310741E-02
33.25,0.1260693
33.3,1.623924E-02
33.35,6.774655E-03
33.4,5.120972E-02
33.45,-1.508313E-02
33.5,-0.1498995
33.55,-0.1209833
33.6,6.682397E-02
33.65,0.2734536
33.7,0.360735
33.75,0.4345791
33.8,0.2791966
33.85,0.1714867
33.9,0.2076445
33.95,0.7084075
34,1.161216
34.05,1.22711
34.1,1.091707
34.15,0.5693592
34.2,6.997015E-02
34.25,4.398689E-02
34.3,0.5204548
34.35,0.7243267
34.4,0.6108597
34.45,0.6723345
34.5,0.625405
34.55,0.4144364
34.6,0.5449525
34.65,0.5537719
34.7,0.446241
34.75,0.4968991
34.8,0.6371672
34.85,0.5854626
34.9,0.4859877
34.95,0.7173337
35,0.6932725
35.05,0.5364763
35.1,0.5208956
35.15,0.5519689
35.2,0.5165575
35.25,0.6113572
35.3,0.7840694
35.35,0.8049116
35.4,0.9589053
35.45,1.17358
35.5,0.9663979
35.55,0.71233
35.6,0.6004294
35.65,0.5845905
35.7,0.7592289
35.75,0.8492074
35.8,0.9925538
35.85,0.9815948
35.9,0.893539
35.95,0.9929775
36,1.087857
36.05,1.283062
36.1,1.439468
36.15,1.634948
36.2,1.545395
36.25,1.429906
36.3,1.454325
36.35,1.291917
36.4,1.207983
36.45,1.26638
36.5,1.446956
36.55,1.727955
36.6,1.897824
36.65,1.956264
36.7,1.821097
36.75,1.739211
36.8,1.694997
36.85,1.734492
36.9,1.61816
36.95,1.460581
37,1.540997
37.05,1.605435
37.1,1.437499
37.15,1.436105
37.2,1.371049
37.25,1.454769
37.3,1.649992
37.35,1.775573
37.4,1.757652
37.45,2.03859
37.5,2.535574
37.55,2.694889
37.6,2.563459
37.65,2.285916
37.7,1.998816
37.75,1.943168
37.8,2.21997
37.85,2.482044
37.9,2.586295
37.95,2.53662
38,2.543847
38.05,2.343678
38.1,2.234091
38.15,2.33127
38.2,2.688611
38.25,3.333997
38.3,3.34842
38.35,3.207741
38.4,2.710755
38.45,2.209089
38.5,2.190796
38.55,2.319705
38.6,2.416784
38.65,2.981295
38.7,3.521776
38.75,3.583076
38.8,3.409146
38.85,3.309885
38.9,3.06944
38.95,3.330097
39,3.648949
39.05,3.78199
39.1,3.870836
39.15,3.794184
39.2,3.72893
39.25,3.608094
39.3,3.431883
39.35,3.413032
39.4,3.483807
39.45,3.58411
39.5,3.565746
39.55,3.678331
39.6,3.771993
39.65,3.722835
39.7,3.876565
39.75,3.907249
39.8,3.834218
39.85,4.039172
39.9,4.196121
39.95,4.237844
40,4.382483
40.05,4.434333
40.1,4.322798
40.15,4.25498
40.2,4.270078
40.25,4.397795
40.3,4.499155
40.35,4.473488
40.4,4.272465
40.45,4.219345
40.5,3.991269
40.55,4.327948
40.6,4.608674
40.65,4.539664
40.7,4.544634
40.75,4.408433
40.8,4.479051
40.85,4.460985
40.9,4.688053
40.95,4.677449
41,4.483529
41.05,4.615593
41.1,4.561546
41.15,4.448866
41.2,4.375372
41.25,4.487223
41.3,4.607032
41.35,4.777257
41.4,5.059926
41.45,5.028901
