Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Saturday, March 14, 2020 12:24:22 AM"
Date Last Modified,"Tuesday, November 03, 2020 12:48:31 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,sample 3
Number of Events,2121
 
Time,Value
32,0.7495117
32.05,0.7495117
32.1,0.7495117
32.15,0.7495117
32.2,0.7495117
32.25,0.7495117
32.3,0.7495117
32.35,0.7495117
32.4,0.7495117
32.45,0.7495117
32.5,0.7495117
32.55,0.7495117
32.6,0.7495117
32.65,0.7495117
32.7,0.7495117
32.75,1.550199
32.8,2.292549
32.85,2.067003
32.9,1.312177
32.95,0.3899599
33,0.3772547
33.05,0.6268785
33.1,0.9180297
33.15,0.817594
33.2,0.2171448
33.25,-0.6501245
33.3,-1.161863
33.35,-1.52362
33.4,-1.711464
33.45,-1.787283
33.5,-1.902844
33.55,-1.579879
33.6,-1.355409
33.65,-0.9939651
33.7,-0.9439124
33.75,-1.091064
33.8,-1.258207
33.85,-1.288693
33.9,-1.024127
33.95,-0.9012447
34,-0.5875087
34.05,-0.7396475
34.1,-0.6859206
34.15,-0.7797641
34.2,-0.7261959
34.25,-0.7393672
34.3,-0.6666816
34.35,-0.7351462
34.4,-0.5611158
34.45,-0.5085353
34.5,-0.9203621
34.55,-1.278103
34.6,-1.76
34.65,-1.662408
34.7,-1.134359
34.75,-1.001102
34.8,-1.124201
34.85,-1.373236
34.9,-1.486704
34.95,-1.590716
35,-1.359138
35.05,-1.45296
35.1,-1.372363
35.15,-1.342285
35.2,-1.107569
35.25,-0.8943301
35.3,-0.6836819
35.35,-0.7332934
35.4,-0.5366427
35.45,-0.7917808
35.5,-1.193105
35.55,-1.466974
35.6,-1.582807
35.65,-1.349871
35.7,-0.9315717
35.75,-0.7110109
35.8,-1.022575
35.85,-1.353028
35.9,-1.390576
35.95,-1.152818
36,-1.163247
36.05,-1.384276
36.1,-1.770397
36.15,-1.991732
36.2,-1.73325
36.25,-1.368406
36.3,-1.156611
36.35,-1.27431
36.4,-1.300591
36.45,-1.456558
36.5,-1.708908
36.55,-1.661409
36.6,-1.720722
36.65,-1.536707
36.7,-1.282301
36.75,-1.157197
36.8,-1.203986
36.85,-1.325318
36.9,-1.244254
36.95,-1.267353
37,-1.168945
37.05,-0.9877807
37.1,-1.053491
37.15,-1.138523
37.2,-1.123994
37.25,-0.8877557
37.3,-0.582429
37.35,-0.4275491
37.4,-0.7783594
37.45,-1.29299
37.5,-1.605984
37.55,-1.744771
37.6,-1.410873
37.65,-1.066212
37.7,-1.162663
37.75,-1.099071
37.8,-1.061806
37.85,-1.242468
37.9,-1.253942
37.95,-1.31565
38,-1.143225
38.05,-1.041189
38.1,-0.9582791
38.15,-1.221895
38.2,-1.186498
38.25,-1.15886
38.3,-1.137185
38.35,-1.215796
38.4,-1.702024
38.45,-2.219279
38.5,-2.362571
38.55,-2.258706
38.6,-2.119108
38.65,-1.75797
38.7,-1.812948
38.75,-1.975396
38.8,-2.043789
38.85,-1.92714
38.9,-1.644357
38.95,-1.123059
39,-0.9296632
39.05,-1.034434
39.1,-1.163156
39.15,-1.591824
39.2,-1.843439
39.25,-1.941014
39.3,-1.773265
39.35,-1.580453
39.4,-1.357195
39.45,-1.274548
39.5,-1.461838
39.55,-1.766396
39.6,-2.040767
39.65,-2.019882
39.7,-2.009587
39.75,-1.724474
39.8,-1.358799
39.85,-1.266465
39.9,-1.46855
39.95,-1.777458
40,-2.205288
40.05,-2.568053
40.1,-2.608172
40.15,-2.402975
40.2,-2.343801
40.25,-2.202239
40.3,-1.924217
40.35,-1.746307
40.4,-1.29221
40.45,-0.9161143
40.5,-0.3997271
40.55,-0.2459618
40.6,-0.6419461
40.65,-1.004772
40.7,-1.093878
40.75,-1.20816
40.8,-0.9041448
40.85,-0.6804453
40.9,-0.9507776
40.95,-1.343943
41,-1.356093
