Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Saturday, March 14, 2020 12:24:22 AM"
Date Last Modified,"Tuesday, November 03, 2020 12:48:31 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,sample 6
Number of Events,2121
 
Time,Value
32,-0.9062195
32.05,-0.9062195
32.1,-0.9062195
32.15,-0.9062195
32.2,-0.9062195
32.25,-0.9062195
32.3,-0.9062195
32.35,-0.9062195
32.4,-0.9062195
32.45,-0.9062195
32.5,-0.9062195
32.55,-0.9062195
32.6,-0.9062195
32.65,-0.9062195
32.7,-0.9062195
32.75,-0.9062195
32.8,-0.9062195
32.85,-0.9062195
32.9,-0.9062195
32.95,-0.9062195
33,-0.9062195
33.05,-0.9062195
33.1,-0.9062195
33.15,-0.9062195
33.2,-0.9062195
33.25,-0.9062195
33.3,-0.9062195
33.35,-0.9062195
33.4,-0.9062195
33.45,-0.9062195
33.5,-0.9062195
33.55,-0.9062195
33.6,-0.9062195
33.65,-1.317915
33.7,-2.404073
33.75,-2.932471
33.8,-1.423878
33.85,0.1280074
33.9,1.908203
33.95,3.086286
34,2.727122
34.05,2.390116
34.1,2.283066
34.15,1.584168
34.2,0.2234225
34.25,-1.146331
34.3,-1.142154
34.35,-1.508325
34.4,-1.144746
34.45,-0.8498179
34.5,-1.132901
34.55,0.3442405
34.6,2.36941
34.65,4.458428
34.7,4.474352
34.75,4.624867
34.8,3.950995
34.85,3.119011
34.9,2.084188
34.95,0.8773801
35,0.9240717
35.05,1.62094
35.1,2.882967
35.15,3.472366
35.2,3.159786
35.25,2.392036
35.3,1.164149
35.35,0.7429554
35.4,0.2506988
35.45,-0.9996975
35.5,-1.294644
35.55,-0.5315431
35.6,-4.300397E-02
35.65,0.2947416
35.7,0.1057375
35.75,-0.1082223
35.8,-0.4199758
35.85,-0.3533065
35.9,0.3807406
35.95,0.7624951
36,1.870044
36.05,3.712456
36.1,5.650043
36.15,5.421387
36.2,5.104177
36.25,3.233948
36.3,2.378086
36.35,2.255293
36.4,2.952124
36.45,3.916493
36.5,6.037994
36.55,7.270137
36.6,6.855838
36.65,5.899109
36.7,4.006941
36.75,1.718234
36.8,1.858828
36.85,3.337225
36.9,5.336611
36.95,5.520393
37,4.622961
37.05,2.603398
37.1,1.972796
37.15,2.000001
37.2,2.42194
37.25,2.742879
37.3,3.180014
37.35,3.625433
37.4,3.941342
37.45,4.970879
37.5,5.006886
37.55,4.876866
37.6,3.814161
37.65,1.114377
37.7,9.998471E-02
37.75,-0.325049
37.8,-0.1361398
37.85,1.133398
37.9,2.276936
37.95,2.856742
38,2.39837
38.05,3.088751
38.1,3.925167
38.15,3.657907
38.2,3.361211
38.25,2.376095
38.3,1.974602
38.35,2.027252
38.4,1.369518
38.45,1.784789
38.5,2.204684
38.55,2.767368
38.6,3.662652
38.65,4.467313
38.7,3.783859
38.75,2.46923
38.8,2.570723
38.85,2.599924
38.9,3.771083
38.95,3.403002
39,2.994421
39.05,2.146493
39.1,0.4835432
39.15,-0.4479082
39.2,-0.8345534
39.25,0.0486603
39.3,0.5949038
39.35,1.322902
39.4,1.999068
39.45,1.822656
39.5,1.653307
39.55,0.2542397
39.6,-1.147359E-02
39.65,-6.88001E-03
39.7,0.2876508
39.75,1.617325
39.8,2.313686
39.85,1.722619
39.9,0.8366969
39.95,0.1847833
40,-0.1951928
40.05,-0.107028
40.1,0.5103384
40.15,0.7095724
40.2,-0.3408508
40.25,-0.9580517
40.3,-2.411999
40.35,-2.634948
40.4,-1.305508
40.45,0.3743146
40.5,0.6748448
40.55,0.1309042
40.6,-0.270012
40.65,-0.3628268
40.7,0.5836611
40.75,0.9687749
40.8,0.5781518
40.85,-1.046481
40.9,-1.733019
40.95,-0.2075545
41,0.1768654
41.05,-0.4457633
41.1,-1.475182
41.15,-2.455457
41.2,-2.87749
41.25,-2.913309
