Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Saturday, March 14, 2020 12:24:22 AM"
Date Last Modified,"Tuesday, November 03, 2020 12:48:31 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,sample 5
Number of Events,2121
 
Time,Value
32,1.682327
32.05,1.2995
32.1,0.7611694
32.15,0.3089294
32.2,1.509094E-02
32.25,6.921387E-02
32.3,-0.2456665
32.35,-0.3126373
32.4,-0.509613
32.45,-0.8094177
32.5,-0.7444305
32.55,-0.4128265
32.6,-0.1424255
32.65,-1.547241E-02
32.7,0.1068726
32.75,7.220459E-02
32.8,-0.2298431
32.85,-0.2170105
32.9,0.1411896
32.95,0.3663025
33,0.4987335
33.05,0.5544281
33.1,0.5168915
33.15,0.508316
33.2,0.3373718
33.25,-2.822876E-03
33.3,-0.2949677
33.35,-0.5667419
33.4,-0.6196747
33.45,-0.8226318
33.5,-0.9352417
33.55,-0.82724
33.6,-0.8400421
33.65,-0.316452
33.7,0.4349213
33.75,0.6499481
33.8,0.617569
33.85,0.4931793
33.9,0.2086182
33.95,0.1118774
34,0.1197205
34.05,0.1343384
34.1,7.397461E-02
34.15,-0.1985321
34.2,0.2042236
34.25,0.791748
34.3,1.131378
34.35,1.847275
34.4,1.794922
34.45,1.313889
34.5,0.9757996
34.55,0.3690338
34.6,0.1468506
34.65,-0.1402893
34.7,1.748657E-02
34.75,4.402161E-02
34.8,0.1464996
34.85,0.6097565
34.9,0.7733612
34.95,0.438736
35,0.1536102
35.05,-2.539063E-02
35.1,0.1612549
35.15,0.1890106
35.2,0.32341
35.25,-9.535217E-02
35.3,-0.4940033
35.35,-0.7789917
35.4,-0.6758423
35.45,-0.3232269
35.5,0.1209869
35.55,0.2447662
35.6,7.693481E-02
35.65,-0.2206268
35.7,-7.208252E-02
35.75,0.1345062
35.8,0.3621216
35.85,0.5571594
35.9,0.4123688
35.95,0.1264648
36,-5.081177E-03
36.05,-2.598572E-02
36.1,5.839539E-02
36.15,0.1313782
36.2,0.1483307
36.25,-5.723572E-02
36.3,-0.173172
36.35,-0.154541
36.4,5.891418E-02
36.45,-0.107605
36.5,0.140686
36.55,0.3712463
36.6,0.223877
36.65,0.1384735
36.7,0.3846283
36.75,0.341217
36.8,0.4694977
36.85,0.4409943
36.9,0.6816406
36.95,0.3623962
37,0.1916809
37.05,0.2297974
37.1,0.3177032
37.15,3.471375E-02
37.2,8.486938E-02
37.25,3.874207E-02
37.3,0.1821289
37.35,0.2576447
37.4,0.4826202
37.45,0.7284088
37.5,0.8721619
37.55,0.3860779
37.6,0.2544403
37.65,-4.748535E-02
37.7,7.064819E-03
37.75,-0.1223297
37.8,0.1474304
37.85,0.2949524
37.9,0.5113525
37.95,0.5072937
38,0.435379
38.05,0.3574219
38.1,0.5455475
38.15,0.5080414
38.2,0.8305359
38.25,0.8213959
38.3,1.117966
38.35,0.965683
38.4,0.8749695
38.45,0.6522827
38.5,0.4873352
38.55,0.122879
38.6,0.1612244
38.65,2.151489E-03
38.7,0.4724274
38.75,0.7077179
38.8,1.016159
38.85,1.065506
38.9,0.9911804
38.95,0.7499084
39,0.7985077
39.05,0.5563507
39.1,0.456665
39.15,0.3698883
39.2,0.4235687
39.25,0.1432495
39.3,7.862854E-02
39.35,0.2739258
39.4,0.4801025
39.45,0.6159058
39.5,1.048325
39.55,1.399124
39.6,1.318359
39.65,0.7598267
39.7,0.6502838
39.75,0.5198517
39.8,0.6901703
39.85,1.078583
39.9,1.444031
39.95,1.374695
40,1.083603
40.05,0.7951508
40.1,0.8414154
40.15,1.051056
40.2,1.127228
40.25,1.099869
40.3,1.144058
40.35,1.289398
40.4,1.252625
40.45,0.9158936
40.5,0.7734985
40.55,0.9694672
40.6,1.313461
40.65,2.344101
40.7,4.419861
40.75,8.170471
40.8,15.37492
40.85,26.1153
40.9,39.17467
40.95,51.72484
