Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Saturday, March 14, 2020 12:24:22 AM"
Date Last Modified,"Tuesday, November 03, 2020 12:48:31 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,sample 1
Number of Events,2121
 
Time,Value
32,-0.9486542
32.05,-0.9486542
32.1,-0.9486542
32.15,-0.9486542
32.2,-0.9486542
32.25,-0.9486542
32.3,-0.9486542
32.35,-0.9486542
32.4,-0.9486542
32.45,-0.9486542
32.5,-0.9486542
32.55,-0.9486542
32.6,-0.9486542
32.65,-0.9486542
32.7,-0.9486542
32.75,-0.9486542
32.8,-0.9486542
32.85,-0.9486542
32.9,-0.9486542
32.95,-0.9486542
33,-0.9486542
33.05,-0.9486542
33.1,-1.201327
33.15,-1.687398
33.2,-2.168253
33.25,-0.807327
33.3,0.7987105
33.35,1.118399
33.4,1.394945
33.45,1.170406
33.5,-0.5062513
33.55,-1.358047
33.6,-1.188944
33.65,-0.8829882
33.7,0.7224528
33.75,1.964652
33.8,1.616242
33.85,1.284872
33.9,1.307402
33.95,1.582038
34,1.726897
34.05,2.067548
34.1,1.632363
34.15,1.464113
34.2,1.598204
34.25,2.209239
34.3,1.837802
34.35,0.7375799
34.4,-0.1371271
34.45,-0.6222641
34.5,-0.4261099
34.55,-7.435025E-02
34.6,0.7726119
34.65,0.6984137
34.7,0.8973218
34.75,0.9916303
34.8,1.12167
34.85,0.5375165
34.9,0.4334486
34.95,-0.1147196
35,-0.5976894
35.05,-0.4753823
35.1,9.960813E-02
35.15,0.5853862
35.2,1.218886
35.25,1.137248
35.3,1.065372
35.35,0.9458371
35.4,0.8491392
35.45,0.9429027
35.5,0.9724935
35.55,1.456878
35.6,1.729874
35.65,1.180784
35.7,0.3532122
35.75,0.1210478
35.8,0.4202739
35.85,0.7224951
35.9,1.288134
35.95,1.720254
36,1.696387
36.05,1.541992
36.1,0.5640587
36.15,0.1022767
36.2,0.8411074
36.25,1.945339
36.3,2.337213
36.35,2.492582
36.4,2.811373
36.45,3.109967
36.5,2.87923
36.55,2.66891
36.6,2.215993
36.65,2.209152
36.7,1.937037
36.75,1.700958
36.8,1.117902
36.85,1.326676
36.9,1.791219
36.95,2.331339
37,2.892423
37.05,3.183833
37.1,2.858083
37.15,2.339876
37.2,2.632672
37.25,3.043323
37.3,2.622032
37.35,1.481378
37.4,1.05894
37.45,0.7183252
37.5,1.218406
37.55,1.375787
37.6,0.206382
37.65,-1.205592
37.7,-0.5289044
37.75,0.4105527
37.8,1.476453
37.85,1.919662
37.9,1.288798
37.95,0.4662348
38,0.7673916
38.05,1.536462
38.1,2.199449
38.15,2.721729
38.2,2.830737
38.25,2.397801
38.3,1.791089
38.35,1.635871
38.4,1.408475
38.45,1.675939
38.5,2.022351
38.55,1.999247
38.6,2.135418
38.65,2.607578
38.7,2.68603
38.75,2.677713
38.8,2.889957
38.85,3.013072
38.9,1.907963
38.95,1.455944
39,1.075965
39.05,1.449425
39.1,1.664608
39.15,2.384295
39.2,1.56363
39.25,1.07208
39.3,1.757567
39.35,2.803515
39.4,3.005038
39.45,2.971306
39.5,2.364566
39.55,2.190964
39.6,3.9179
39.65,4.948575
39.7,4.849042
39.75,3.975843
39.8,2.917634
39.85,1.85039
39.9,1.534982
39.95,1.598218
40,2.217078
40.05,2.483808
40.1,2.148457
40.15,0.8606691
40.2,0.5228719
40.25,1.463713
40.3,2.402866
40.35,2.825625
40.4,2.810295
40.45,2.811911
40.5,2.830537
40.55,3.411459
40.6,3.686512
40.65,4.457048
40.7,4.664542
40.75,3.886567
40.8,2.514916
40.85,1.68028
40.9,1.223602
40.95,2.125479
41,3.136098
41.05,2.816087
41.1,2.046673
41.15,1.559541
41.2,1.4175
41.25,1.75448
41.3,2.529753
41.35,3.086401
41.4,3.323132
41.45,3.229788
41.5,2.821613
41.55,2.909875
41.6,2.043365
